id,type_id,nom,street_number,street_name,complement_address,code_postal,ville,lat,lon,usage_principale,date_de_construction,nombre_de_batiment,nombre_de_niveaux,country,category,compacite,periode_de_occupation_des_locaux,hauteur_sous_plafond_moyenne,zone_climatique,temp_ext_de_base,orientation_principale,surface_totale,detailed_surface,chauffage,ecs,renouvellement_d_air,plan,image,cons_gaz,cons_gas_link,cons_elec,cons_elec_link,cons_eau,cons_eau_link,cons_eau_chaud,cons_eau_chaud_link,dpec,maintenance
28,1,GROUPE SCOLAIRE JUMENTIER-LYON ,20,,"20 Rue des Glatiniers, 02100 St.-Quentin",2100,St.-Quentin,49.84548961,3.284751177,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,
29,1,ECOLE JUMENTIER-LYON ,3,,"3 Rue des Glatiniers, 02100 St.-Quentin",2100,St.-Quentin,49.84524054,3.285126686,,,,,France,MATERNELLE,,,,,,,,,,,,,,,,,,,,,,,
30,1,ECOLE THEILLIER DESJARDINS ,1,,"1 Rue de Flandre, 02100 St.-Quentin",2100,St.-Quentin,49.84072253,3.274054527,,,,,France,ELEMENTAIRE,,,,,,,,,,,,,,,,,,,,,,,
31,1,ECOLE XAVIER AUBRYET ,57D,,"57D Rue de Ham, 02100 St.-Quentin",2100,St.-Quentin,49.84191261,3.27375412,,,,,France,MATERNELLE ,,,,,,,,,,,,,,,,,,,,,,,
32,1,ECOLE JEAN MACE ,1,,"1 Rue du Commandant Charcot, 02100 St.-Quentin",2100,St.-Quentin,49.84605001,3.266758919,,,,,France,MAT. ET ELEM ,,,,,,,,,,,,,,,,,,,,,,,
33,1,ECOLE ERNEST LAVISSE ,7,,"7 Rue André Gide, 02100 St.-Quentin",2100,St.-Quentin,49.83670923,3.265514374,,,,,France,MATERNELLE ,,,,,,,,,,,,,,,,,,,,,,,
34,1,ECOLE ERNEST LAVISSE ,17,,"17 Chemin de la Tombelle, 02100 St.-Quentin",2100,St.-Quentin,49.83687531,3.266447783,,,,,France,ELEMENTAIRE ,,,,,,,,,,,,,,,,,,,,,,,
35,1,ECOLE PAUL POLVENT ,9,,"9 Rue Mayeure, 02100 St.-Quentin",2100,St.-Quentin,49.83884047,3.299181461,,,,,France,MATERNELLE ,,,,,,,,,,,,,,,,,,,,,,,
36,1,ECOLE MARCEL PAGNOL ,127,,"127 Rue du Général Leclerc, 02100 St.-Quentin",2100,St.-Quentin,49.83833535,3.302732706,,,,,France,ELEMENTAIRE,,,,,,,,,,,,,,,,,,,,,,,
37,1,GROUPE SCOLAIRE LES GIRONDINS ,47,,"47 Rue des Girondins, 02100 St.-Quentin",2100,St.-Quentin,49.83826615,3.307238817,,,,,France,MATERNELLE,,,,,,,,,,,,,,,,,,,,,,,
38,1,ECOLE BENJAMIN ROUCHE ,1,,"1 Rue Paul Éluard, 02100 St.-Quentin",2100,St.-Quentin,49.83231499,3.319834471,,,,,France,MATERNELLE,,,,,,,,,,,,,,,,,,,,,,,
39,1,ECOLE EUGÈNE CORRETTE ,54,,"54 Rue de la Garenne Museux, 02100 St.-Quentin",2100,St.-Quentin,49.83410734,3.308815956,,,,,France,MATERNELLE ,,,,,,,,,,,,,,,,,,,,,,,
40,1,ECOLE EUGÈNE CORRETTE ,7,,"7 Rue de la Garenne Museux, 02100 St.-Quentin",2100,St.-Quentin,49.8336506,3.309373856,,,,,France,ELEMENTAIRE ,,,,,,,,,,,,,,,,,,,,,,,
41,1,ECOLE JACQUES PREVERT ,4,,"4 Place du 8 Mai 1945, 02100 St.-Quentin",2100,St.-Quentin,49.82893772,3.257918358,,,,,France,MATERNELLE,,,,,,,,,,,,,,,,,,,,,,,
42,1,ECOLE JACQUES PRÉVERT ,1,,"1 Rue de l'Église, 02100 St.-Quentin",2100,St.-Quentin,49.82859168,3.257939816,,,,,France,ELEMENTAIRE ,,,,,,,,,,,,,,,,,,,,,,,
,,ECOLE QUENTIN BARRE ,59,,"59 Rue Quentin Barré, 02100 St.-Quentin",2100,St.-Quentin,49.84845064,3.299632072,,,,,France,ELEMENTAIRE,,,,,,,,,,,,,,,,,,,,,,,
